Year,Africa,Asia,Europe,Mideast,West. Hem
1945,672337,2222908,216041422,635929,171759439
1950,736193,25948053,182146023,946089,192159498
1955,802667,34806115,223576835,1740329,213452184
1960,14074508,41601765,232373678,1627382,252280539
1965,28626956,48324442,243240445,2864431,291058747
1970,38089508,54128278,248209651,2696173,327882930
1975,52803680,62221703,254101668,2331935,376866912
1980,63116530,70791416,259260904,2429312,403236567
1985,73386870,79653394,260592119,2614480,449070083
1990,86230560,97213932,288130151,4910719,452042394
1995,105118187,109255711,258950188,5202572,484088201
2000,119734890,111594438,252170341,5009970,490124294
2005,143240680,121326959,249539088,4861634,494915555
2010,165943467,129766537,244246870,5126980,504625969
