"country","highestCatholicPopulation_catholicsPerc","highestCatholicPopulation_catholics"
"India",0.9,13000000
"China",0.43,6000000
"United States",21,66980000
"Indonesia",3.12,8424000
"Pakistan",0.8,1656000
"Nigeria",12.6,23940000
"Brazil",50,105300000
"Bangladesh",0.07,110000
"Russia",0.5,717101
"Ethiopia",0.7,584426
"Mexico",74,91200000
"Japan",0.3,382251
"Philippines",78.8,86000000
"DR Congo",37,37000000
"Vietnam",6.1,5868748
"Iran",0.02,13603
"Turkey",0.05,35000
"Germany",24.8,20938000
"Thailand",0.3,388468
"Tanzania",25.6,16604000
"United Kingdom",9,5700000
"France",47,31300000
"South Africa",7.1,2851327
"Italy",74,42000000
"Kenya",20.6,9816000
"Myanmar",1.1,450549
"Colombia",70.9,34000000
"South Korea",11.1,5914669
"Uganda",39.3,18757000
"Sudan",1,300000
"Spain",52.9,26000000
"Iraq",0.35,133000
"Algeria",0.14,45000
"Argentina",48.9,22500000
"Poland",71.1,27121000
"Canada",29.9,11060000
"Morocco",0.07,22908
"Ukraine",5.6,2408000
"Angola",41.1,12500000
"Saudi Arabia",2.5,660439
"Uzbekistan",0.01,2685
"Yemen",0.02,4145
"Mozambique",27.2,5270000
"Ghana",10,3079261
"Peru",74,24600000
"Malaysia",3.3,1290453
"Nepal",0.03,8302
"Madagascar",29.5,5318293
"Ivory Coast",21.4,5093000
"Cameroon",38.4,9846000
"Niger",0.1,11665
"Australia",20,5076000
"North Korea",0.01,2291
"Syria",2.1,368975
"Mali",1.5,189289
"Taiwan",1.3,297626
"Burkina Faso",20.1,4121536
"Sri Lanka",6.1,1237000
"Malawi",17.2,3028435
"Zambia",21,3003000
"Kazakhstan",0.6,91115
"Chile",42,8100000
"Romania",4.7,1787408
"Chad",20,2520000
"Somalia",0.001,100
"Ecuador",69.5,11265523
"Guatemala",43,7000000
"Senegal",3.5,389439
"Netherlands",18.2,33300000
"Cambodia",0.1,10000
"Zimbabwe",7.71,982792
"Guinea",2.6,246164
"Rwanda",43.7,4807000
"Benin",26.6,1984366
"Burundi",62.1,7440000
"Bolivia",70,7980000
"Tunisia",0.2,22000
"Haiti",54.7,5470000
"Belgium",44,5000000
"Dominican Republic",48,4992000
"Jordan",0.4,23038
"South Sudan",39.7,3950000
"Cuba",60,6000000
"Honduras",37,3256000
"Sweden",1.8,180000
"Papua New Guinea",26,1890000
"Czech Republic",9.3,985318
"Azerbaijan",0.03,2574
"Tajikistan",0.01,1000
"Greece",2.4,250000
"Portugal",80.2,7043016
"Hungary",29.2,2808000
"United Arab Emirates",5,128160
"Belarus",7.1,674500
"Israel",1.2,92952
"Togo",26.4,1499921
"Sierra Leone",2.9,174511
"Austria",52,4733200
"Switzerland",33.8,2900000
"Laos",0.6,37302
"Hong Kong",5.3,394000
"Nicaragua",40,2400000
"Serbia",6.1,433167
"Libya",0.7,40358
"Paraguay",88.3,6000000
"Kyrgyzstan",0.1,5146
"Bulgaria",0.6,37251
"Turkmenistan",0.01,500
"El Salvador",39,2730000
"Republic of the Congo",33.1,1675529
"Singapore",7,398006
"Denmark",0.7,46000
"Central African Republic",29,949974
"Slovakia",55.8,3038511
"Finland",0.2,12434
"Liberia",5.4,188039
"Norway",2.4,120900
"Palestine",2,80000
"New Zealand",10,470000
"Costa Rica",47,2350000
"Lebanon",28.8,1382400
"Ireland",69,3500000
"Mauritania",0.1,3086
"Oman",4.1,110000
"Panama",55,1925000
"Kuwait",6.1,142474
"Croatia",79,3060000
"Eritrea",3.3,150532
"Georgia",0.5,18569
"Mongolia",0.04,1116
"Uruguay",38,1330000
"Moldova",0.5,20494
"Puerto Rico",56,2000000
"Bosnia and Herzegovina",15.19,536333
"Gambia",2.1,33458
"Albania",10,302000
"Jamaica",2.2,59356
"Armenia",0.3,8695
"Qatar",5.8,50000
"Botswana",4.9,80365
"Lithuania",77.2,2085340
"Namibia",22.8,344202
"Gabon",50,694600
"Lesotho",45.7,946000
"Guinea-Bissau",8.9,126026
"Slovenia",72.1,1509986
"North Macedonia",0.4,6746
"Latvia",19.1,437435
"Equatorial Guinea",80.7,1410000
"Trinidad and Tobago",21.6,286000
"Bahrain",8.9,71200
"Timor-Leste",97.57,1021000
"Estonia",0.8,8690
"Mauritius",26,324811
"Cyprus",2.9,11000
"Eswatini",4.9,62803
"Djibouti",0.2,953
"Reunion",79.7,669249
"Fiji",9.1,80401
"Comoros",0.2,1600
"Guyana",7.1,53034
"Bhutan",0.06,1339
"Solomon Islands",19,100000
"Macau",4.6,30000
"Luxembourg",63.8,369600
"Suriname",21.6,119000
"Montenegro",3.4,21299
"Cape Verde",77.3,395850
"Western Sahara",0.06,163
"Malta",82.6,361372
"Maldives",0.02,80
"Brunei",5,38709
"Belize",40,133600
"Bahamas",12,39600
"Guadeloupe",85.2,345486
"Iceland",3.9,13799
"Martinique",80,312000
"Vanuatu",13.1,36500
"French Guiana",75,166500
"New Caledonia",60.2,150000
"Barbados",4.2,10000
"Sao Tome and Principe",73.5,119805
"Samoa",19.6,35084
"Curacao",72.8,103507
"Saint Lucia",61.3,101500
"Guam",85,131430
"Kiribati",55.8,54684
"Grenada",44.6,39917
"Micronesia",52.6,60000
"Tonga",15.6,15912
"Seychelles",76.2,70866
"Aruba",75.3,76464
"Saint Vincent and the Grenadines",7.5,7950
"United States Virgin Islands",34,37345
"Antigua and Barbuda",5.5,4752
"Andorra",88.2,61740
"Dominica",58.1,41564
"Cayman Islands",14.1,6748
"Greenland",0.2,111
"Northern Mariana Islands",64.1,33113
"Saint Kitts and Nevis",6.7,3400
"Turks and Caicos Islands",11.4,2548
"Marshall Islands",8.4,5208
"Monaco",82.3,29933
"San Marino",90.5,29412
"British Virgin Islands",9.5,2283
"Palau",46,8124
"Anguilla",5.7,804
"Nauru",32.96,3324
"Tuvalu",1,100
"Wallis and Futuna",95.8,13631
"Saint Pierre and Miquelon",93,5600
"Falkland Islands",10,300
"Vatican City",100,842
